problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
nsb_affine_d4,p,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0166897997260093,0.26517589940201663,0.26697923049415545,5.0270049395554195e-06,9.326893192857131,1566.918056399998
nsb_affine_d4,p,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0173515379428863,0.20532996580004687,0.3263784359693878,4.988730462888011e-06,10.299970399404454,1730.3950270999485
nsb_affine_d4,p,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0278692860156297,0.2409332054888918,0.15418481242153162,4.99454488687791e-06,9.174319250595588,1541.2856341000588
nsb_affine_d4,p,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0283428244292736,0.42826176778457703,0.35064239436706807,4.908886377766716e-06,19.06567442797634,3203.033303900025
nsb_affine_d4,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.1128018721938133,0.43774820895244676,0.28938021011876974,4.937527562344171e-06,4.205063273213108,706.4506298998022
nsb_affine_d4,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.1289484649896621,2.126389914147911,3.823932289104914,4.995707129074574e-06,42.244221554758646,7097.029221199453
nsb_affine_d4,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.1320620626211166,3.2848989760414478,5.681703106031932,4.926129371423962e-06,73.4661437845238,12342.312155799998
nsb_affine_d4,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.1425016373395919,1.7745338792779617,2.7255636211002154,4.992416279492318e-06,35.41314122916707,5949.407726500067
nsb_affine_d4,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.1666358262300491,1.7525705125715052,1.597508460798413,4.9770049025980935e-06,3.290597244640161,552.820337099547
nsb_affine_d4,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.5420171022415161,3.775975118790354,3.002294510551296,4.8869564195575505e-06,27.74581206130859,4661.296426299843
nsb_affine_d4,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0990515202283859,0.40883525882271077,0.2715669230799687,4.944831673691667e-06,2.4312626797616845,408.452130199963
nsb_affine_d4,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.1289973855018615,2.096925644736205,3.7863062118189847,4.995151108405913e-06,28.92688839821451,4859.7172509000375
nsb_affine_d4,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.1313097476959228,1.6674748682195233,1.550482456335029,4.976283670592758e-06,1.5516093892850524,260.6703773998888
nsb_affine_d4,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.1341783255338668,3.4506084016923393,5.882677769602077,4.936999541119544e-06,47.725581853571256,8017.897751399971
nsb_affine_d4,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.1387043595314026,1.7168596393118303,2.7051124364735317,4.992479600354099e-06,24.17038280833315,4060.6243117999693
nsb_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.4869328141212463,3.6501736009404775,2.9648418138556467,4.874504075555056e-06,16.39596787380989,2754.5226028000616
nsb_affine_d8,p,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.011694231070578,0.5129142366349697,0.8429932935888051,4.949607251719932e-06,53.24032659643126,8944.374868200452
nsb_affine_d8,p,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.011760308407247,0.39025634779439616,0.6993725608779825,4.99192153061553e-06,9.540944793455614,1602.878725300543
nsb_affine_d8,p,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0117778470739722,0.4106398213854326,0.563787433706813,4.992560902684047e-06,5.853895091071969,983.4543753000908
nsb_affine_d8,p,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0222615785896778,0.3188226929134024,0.2612709349548232,4.998742895168107e-06,6.729342767854784,1130.5295849996037
nsb_affine_d8,p,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0530686751008033,0.2212437247591359,0.10178285057672172,4.994120561583432e-06,14.460357452382075,2429.3400520001887
nsb_affine_d8,p,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.1320758908987045,0.6372290657212337,0.47524868352438016,4.92098595421859e-06,32.03363703392305,5381.651021699072
nsb_affine_d8,p,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0114250015467405,0.38365986039640293,0.7012802166287692,4.993932867321183e-06,12.783847139285735,2147.6863194000034
nsb_affine_d8,p,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0115043735131621,0.5106332112780019,0.8297248761187438,4.953659794994435e-06,33.06676477500029,5555.216482200049
nsb_affine_d8,p,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0119767719879746,0.4080671868564206,0.5573121789738777,4.990733825274046e-06,9.26694675595302,1556.8470550001075
nsb_affine_d8,p,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0223600976169109,0.3137468502502001,0.2701126189893955,4.998911349286486e-06,11.14432368452288,1872.2463789998437
nsb_affine_d8,p,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0440414622426033,0.23040739209612915,0.10624150824266192,4.992777061964998e-06,11.473674724405058,1927.5773537000496
nsb_affine_d8,p,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0501298941671848,0.6607432757681679,0.4946263718739289,4.9026957450829895e-06,20.14339767916707,3384.0908101000678
nsb_affine_d8,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0952794998884201,0.4136326927248211,0.26066866158447677,4.941333529694973e-06,3.670322394645371,616.6141623004223
